Name,Email,Role,HOD Email Relation,Role Task,Priority Assessment Keywords
HOD Admissions,admissions.hod@vu.edu.pk,HOD,,"Handle serious or unresolved admissions issues, supervise admissions staff, review escalated admission cases, and make decisions on complex admission matters.","serious admission issue, unresolved admission issue, admission escalation, complex admission case, admission complaint"
HOD Finance,finance.hod@vu.edu.pk,HOD,,"Handle serious or unresolved finance and fee issues, supervise finance staff, review escalated financial cases, and make decisions on complex fee, scholarship, or refund matters.","serious fee issue, unresolved fee issue, finance escalation, complex financial case, fee complaint, scholarship dispute, refund dispute"
HOD Examinations,examinations.hod@vu.edu.pk,HOD,,"Handle serious or unresolved examination issues, supervise examination staff, review escalated exam cases, and make decisions on complex datesheet, result, or transcript matters.","serious exam issue, unresolved result issue, examination escalation, complex examination case, result dispute, transcript dispute"
HOD Technical Support,technical.hod@vu.edu.pk,HOD,,"Handle serious or unresolved technical support issues, supervise technical staff, review escalated system cases, and make decisions on complex LMS, login, or account-access problems.","serious technical issue, unresolved technical issue, technical escalation, complex system case, LMS outage, account access dispute"
HOD Administration,administration.hod@vu.edu.pk,HOD,,"Handle serious or unresolved administrative issues, supervise administration staff, review escalated administrative cases, and make decisions on complex HR, campus, or general administration matters.","serious administrative issue, unresolved administration issue, administrative escalation, complex HR case, campus complaint"
HOD Registrar,registrar.hod@vu.edu.pk,HOD,,"Handle serious or unresolved registrar and student-record issues, supervise registrar staff, review escalated cases, and make decisions on complex record, degree verification, or official-document matters.","serious record issue, unresolved student record issue, registrar escalation, degree dispute, document dispute, verification dispute"
HOD Computer Science,cs.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Computer Science academic issues, supervise Computer Science instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Management,mgt.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Management academic issues, supervise Management instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Economics,eco.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Economics academic issues, supervise Economics instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Education,edu.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Education academic issues, supervise Education instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD English,eng.hod@vu.edu.pk,HOD,,"Handle serious or unresolved English academic issues, supervise English instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Mass Communication,masscomm.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Mass Communication academic issues, supervise Mass Communication instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
